question	sip
Станцуйте и спойте танец маленьких утят	4
Спойте короткую оперу	4
Станцуйте танец живота	4
Спойте свою любимую детскую песню в рок-версии	4
Сыграйте в игру «Пол — это лава» и доберитесь до туалета	5
Попрыгайте на одной ноге вокруг себя 3 раза	4
Станцуйте балет	4
Имитируйте истерику ребёнка, лёжа на полу	5
Поменяйте одну часть одежды с другим игроком до конца игры	3
Расскажите страшную историю, мяукая	2
(Барная) Познакомьтесь с кем-нибудь, используя самую неудачную фразу для подката	5
(Барная) Попросите автограф у человека вне вашей группы	4
Расскажите о смерти домашнего питомца и смейтесь после каждого предложения	2
Станцуйте макарену	4
(Барная) Пригласите сыграть кого-то, кто не в вашей группе	5
Постройте башню из 4 предметов, лежащих на столе	2
Попросите любого игрока нарисовать пенис на вашем животе	4
(Барная) Притворитесь кошкой и мяукая закажите новый напиток у бармена	5
Сделайте 3 подзатыльника игроку на ваш выбор	5
Покажите жестами, что вы ели в последний раз	3
Продемонстрируйте с помощью предмета, как правильно мастурбировать	5
Станцуйце тверк	5
Имитируйте оргазм как можно громче!	5
Воссоздайте свой последний сексуальный опыт, используя предметы на столе	4
Спойте прогноз погоды на завтра	3
Узнайте цвет нижнего белья у человека справа от вас	3
Прочитайте ваше последнее отправленное сообщение эротическим голосом	3
Пососите палец, как младенец	3
(Барная) Объявите войну соседнему столу	5
Сделайте селфи с гримасой и опубликуйте его в соцсетях	4
(Барная) Допейте напиток, подойдите к бармену и скажите, что он его заменил, так как в нём слишком много воздуха	4
Изобразите умирающего лебедя	3
Покажите самое стыдное фото на вашем телефоне	3
Изобразите, как вы пьяным идёте в туалет блевать	4
(Барная) Сделайте подарок кому-то вне группы	4
Станцуйте танец на воображаемом шесте	4
Станцуйте, изображая дерево	3
Нарисуйте автопортрет и повесьте его на видное место	3
Ругайтесь матом 20 секунд подряд	3
Станцуйте лунную походку	4
Озвучьте сцену из порнофильма	5
Покажите фокус	2
Расскажите самый глупый анекдот	2
(Барная) Поздоровайтесь со всеми за соседним столом	5
Сделайте игроку причёску	3
Выразите восторг на языке Йоды	3
Сделайте усы из волос другого игрока, сфотографируйте и опубликуйте в соцсетях	5
Станцуйте стриптиз и снимите часть одежды до конца игры	5
Расскажите о своём последнем сне с французским акцентом	3
Продемонстрируйте навыки брейкданса	5
Станцуйте своё имя	4
Сделайте круг вокруг стола, как краб	3
Сделайте шляпу из подручных средств и носите её до конца игры	2
Прочитайте новости голосом робота	2
(Барная) Лично попрощайтесь с первым, кто выйдет из бара	5
Процитируйте фразу из фильма	1
Произнесите свою собственную похоронную речь	4
Засуньте что-то под одежду и притворитесь беременным	3
(Барная) Закажите у бармена самый отвратительный коктейль и выпейте его	5
Попрыгайте 10 раз с воображаемой скакалкой	3
Расскажите о своём дне голосом маленького ребёнка	1
Покрутитесь вокруг себя 10 раз	3
Расскажите о последней рекламе жалостным тоном	3
